"year","count","tag1","tag2","rank1","rank2"
2017,148,android-layout,mysqli,54,37
2017,4997,java,netbeans,7,1
2017,3552,javascript,netbeans,25,3
2017,2059,mysql,netbeans,16,4
2017,1753,html,netbeans,30,5
2017,1545,jquery,netbeans,28,7
2017,999,c++,netbeans,20,8
2017,710,android-studio,netbeans,28,12
2017,654,html5,netbeans,36,13
2017,420,c,netbeans,31,14
2017,360,json,netbeans,32,17
2017,282,mysqli,netbeans,20,20
2017,237,django,nginx,52,2
2017,5473,javascript,nodejs,7,1
2017,3169,java,nodejs,32,3
2017,2108,jquery,nodejs,14,5
2017,2061,html,nodejs,25,6
2017,1931,mysql,nodejs,18,7
2017,954,css,nodejs,24,11
2017,790,html5,nodejs,24,14
2017,718,android-studio,nodejs,26,16
2017,630,angularjs,nodejs,42,17
2017,586,ajax,nodejs,40,18
2017,559,asp.net,nodejs,46,19
2017,441,json,nodejs,20,21
2017,398,css3,nodejs,19,25
2017,320,bootstrap,nodejs,44,28
2017,299,mysqli,nodejs,16,30
2017,292,c,nodejs,48,32
2017,273,django,nodejs,45,34
2017,219,linux,nodejs,12,36
2017,217,ionic,nodejs,10,37
2017,179,asp.net-mvc,nodejs,62,39
2017,325,nodejs,npm,16,1
2017,368,laravel,oauth,26,1
2017,319,laravel-5,oauth,21,2
2017,168,ios,objective-c,12,2
2017,278,laravel,odbc,41,1
2017,230,laravel-5,odbc,38,2
2017,3226,java,oracle,28,1
2017,3060,javascript,oracle,34,2
2017,2289,mysql,oracle,10,4
2017,2254,c#,oracle,39,5
2017,1636,jquery,oracle,25,8
2017,1528,html,oracle,39,9
2017,547,html5,oracle,54,13
2017,512,asp.net,oracle,53,15
2017,412,json,oracle,24,17
2017,313,mysqli,oracle,14,20
2017,227,.net,oracle,62,22
2017,161,asp.net-mvc,oracle,64,23
2017,1333,mysql,oracle-11g,29,1
2017,260,oracle,oracle-11g,6,3
2017,421,laravel,orm,20,1
2017,346,laravel-5,orm,17,2
2017,3829,javascript,pdf,22,1
2017,2483,java,pdf,52,3
2017,1973,jquery,pdf,18,5
2017,1894,mysql,pdf,20,6
2017,1850,html,pdf,27,7
2017,1791,c#,pdf,54,8
2017,738,css,pdf,43,13
2017,638,html5,pdf,39,14
2017,484,laravel,pdf,13,17
2017,401,laravel-5,pdf,11,18
2017,394,json,pdf,28,19
2017,314,bootstrap,pdf,47,20
2017,297,css3,pdf,36,22
2017,290,mysqli,pdf,17,23
2017,274,django,pdf,44,24
2017,258,nodejs,pdf,21,26
2017,10159,javascript,php,2,1
2017,5967,java,php,3,2
2017,5734,mysql,php,1,3
2017,5173,jquery,php,1,5
2017,5050,html,php,2,6
2017,4068,android,php,8,9
2017,3919,c#,php,8,10
2017,1928,css,php,4,15
2017,1860,ajax,php,2,16
2017,1746,html5,php,4,17
2017,1546,c++,php,1,18
2017,1222,laravel,php,1,21
2017,1119,android-studio,php,2,23
2017,1111,asp.net,php,8,24
2017,1102,json,php,1,25
2017,1078,angularjs,php,5,26
2017,946,mysqli,php,1,28
2017,935,laravel-5,php,1,29
2017,826,bootstrap,php,7,30
2017,789,css3,php,5,31
2017,755,c,php,2,34
2017,702,nodejs,php,1,35
2017,614,codeigniter,php,1,41
2017,412,.net,php,9,48
2017,405,linux,php,1,49
2017,368,oracle,php,2,51
2017,349,asp.net-mvc,php,34,52
2017,326,asp.net-mvc-5,php,14,54
2017,316,django,php,38,56
2017,300,apache,php,1,59
2017,286,android-layout,php,34,60
2017,257,ionic,php,8,62
2017,4043,php,php5,14,1
2017,1732,mysql,php5,22,2
2017,444,laravel,php5,16,3
2017,3129,php,phpexcel,18,1
2017,3246,php,phpmailer,16,1
2017,6261,php,phpmyadmin,2,1
2017,3896,javascript,phpmyadmin,20,2
2017,3210,mysql,phpmyadmin,4,3
2017,3182,java,phpmyadmin,31,4
2017,2302,jquery,phpmyadmin,11,6
2017,2200,html,phpmyadmin,22,7
2017,759,css,phpmyadmin,37,13
2017,734,ajax,phpmyadmin,30,14
2017,734,android-studio,phpmyadmin,22,15
2017,710,html5,phpmyadmin,33,16
2017,567,mysqli,phpmyadmin,4,17
2017,463,json,phpmyadmin,15,20
2017,328,bootstrap,phpmyadmin,40,21
2017,311,css3,phpmyadmin,31,22
2017,283,laravel,phpmyadmin,38,28
2017,226,laravel-5,phpmyadmin,40,30
2017,1138,c++,pilas,14,1
2017,161,django,pip,61,2
2017,1218,mysql,plsql,34,1
2017,271,oracle,plsql,4,3
2017,3280,javascript,post,31,1
2017,3173,php,post,17,2
2017,1518,jquery,post,31,5
2017,1508,html,post,40,6
2017,1458,mysql,post,27,7
2017,991,c++,post,21,10
2017,633,css,post,50,15
2017,551,html5,post,53,16
2017,376,laravel,post,24,17
2017,346,json,post,35,18
2017,339,angularjs,post,54,19
2017,286,laravel-5,post,26,21
2017,285,nodejs,post,20,22
2017,254,mysqli,post,23,23
2017,245,css3,post,50,25
2017,4099,php,postgresql,13,1
2017,3620,javascript,postgresql,23,2
2017,3595,java,postgresql,21,3
2017,2216,c#,postgresql,40,7
2017,2184,mysql,postgresql,13,8
2017,1731,jquery,postgresql,23,10
2017,1587,html,postgresql,35,11
2017,621,css,postgresql,53,18
2017,573,html5,postgresql,50,19
2017,544,ajax,postgresql,48,20
2017,518,laravel,postgresql,9,21
2017,471,json,postgresql,13,22
2017,445,laravel-5,postgresql,8,24
2017,364,nodejs,postgresql,7,26
2017,284,mysqli,postgresql,19,31
2017,274,angularjs,postgresql,62,34
2017,248,bootstrap,postgresql,62,35
2017,244,oracle,postgresql,7,36
2017,235,.net,postgresql,57,37
2017,231,css3,postgresql,54,38
2017,227,django,postgresql,53,40
2017,196,asp.net-mvc,postgresql,61,43
2017,400,laravel,postgresql-9.3,22,1
2017,345,laravel-5,postgresql-9.3,18,2
2017,314,jsf,primefaces,1,1
2017,5055,javascript,python,12,1
2017,4869,php,python,6,2
2017,3636,java,python,19,3
2017,2357,android,python,60,8
2017,2321,mysql,python,9,9
2017,2283,html,python,16,10
2017,2147,jquery,python,13,11
2017,2044,c#,python,45,12
2017,1398,c++,python,6,16
2017,895,css,python,27,18
2017,771,html5,python,29,21
2017,729,django,python,2,23
2017,728,android-studio,python,24,24
2017,685,c,python,5,25
2017,649,ajax,python,34,26
2017,497,json,python,11,30
2017,462,laravel,python,15,31
2017,424,nodejs,python,4,34
2017,370,mysqli,python,7,38
2017,356,laravel-5,python,15,39
2017,348,css3,python,25,40
2017,337,angularjs,python,55,41
2017,311,linux,python,6,43
2017,306,bootstrap,python,50,44
2017,223,.net,python,63,51
2017,198,postgresql,python,6,53
2017,112,android-layout,python,62,56
2017,1747,python,python-2.7,2,1
2017,1072,c++,python-2.7,19,3
2017,458,c,python-2.7,24,5
2017,423,django,python-2.7,18,6
2017,193,json,python-2.7,63,8
2017,1072,python,python-2.x,11,1
2017,3388,javascript,python-3.x,29,1
2017,2157,php,python-3.x,34,2
2017,1975,python,python-3.x,1,3
2017,1378,jquery,python-3.x,36,5
2017,1043,mysql,python-3.x,40,8
2017,539,html5,python-3.x,56,12
2017,478,django,python-3.x,11,13
2017,360,c,python-3.x,40,15
2017,314,python-2.7,python-3.x,1,16
2017,272,json,python-3.x,51,17
2017,1082,c++,qt,17,1
2017,873,python,qt,16,2
2017,374,c,qt,38,4
2017,570,python,qt-creator,30,1
2017,4448,php,query,8,1
2017,2483,mysql,query,7,2
2017,415,json,query,23,3
2017,529,python,r,32,1
2017,629,python,radiobutton,27,1
2017,758,python,random,20,1
2017,776,python,raspberry-pi,18,1
2017,2011,c#,razor,48,1
2017,933,jquery,razor,56,4
2017,591,asp.net,razor,38,5
2017,359,asp.net-mvc,razor,31,8
2017,313,asp.net-mvc-5,razor,18,9
2017,303,nodejs,reactjs,18,1
2017,146,android-layout,realm,55,2
2017,5360,javascript,regex,8,1
2017,4641,php,regex,7,2
2017,4066,java,regex,16,3
2017,2414,mysql,regex,8,5
2017,2390,jquery,regex,9,6
2017,2251,html,regex,19,8
2017,2002,c#,regex,49,10
2017,1189,c++,regex,13,14
2017,1115,python,regex,8,15
2017,923,css,regex,25,17
2017,810,html5,regex,20,18
2017,616,ajax,regex,36,21
2017,518,c,regex,16,22
2017,482,json,regex,12,23
2017,373,nodejs,regex,6,26
2017,359,css3,regex,24,28
2017,342,bootstrap,regex,37,29
2017,331,mysqli,regex,12,30
2017,299,python-3.x,regex,3,32
2017,266,laravel,regex,45,35
2017,220,asp.net-mvc,regex,56,39
2017,189,laravel-5,regex,52,41
2017,2783,java,rest,41,1
2017,2568,javascript,rest,41,3
2017,2544,php,rest,25,4
2017,1303,mysql,rest,31,7
2017,1224,jquery,rest,44,8
2017,1207,html,rest,53,9
2017,435,html5,rest,60,15
2017,345,nodejs,rest,11,16
2017,339,json,rest,38,17
2017,268,angularjs,rest,63,19
2017,2050,php,ruby-on-rails,37,1
2017,1027,mysql,ruby-on-rails,41,3
2017,441,ruby,ruby-on-rails,1,5
2017,314,python,ruby-on-rails,48,7
2017,220,django,ruby-on-rails,54,10
2017,319,ruby-on-rails,rubygems,1,1
2017,502,python,scipy,33,1
2017,687,python,scrapy,23,1
2017,2508,php,select2,26,1
2017,1224,mysql,select2,33,2
2017,727,python,selenium,22,1
2017,2187,php,seo,33,1
2017,2141,java,servlets,60,2
2017,155,android-layout,sharedpreferences,51,2
2017,851,python,shell,17,1
2017,146,django,shell,63,4
2017,3157,java,spring,33,1
2017,1678,php,spring,42,3
2017,8818,php,sql,1,1
2017,7509,javascript,sql,4,2
2017,5797,java,sql,4,3
2017,4483,mysql,sql,2,5
2017,4451,c#,sql,3,6
2017,3955,jquery,sql,3,9
2017,3677,html,sql,6,10
2017,3169,android,sql,30,12
2017,1492,python,sql,3,17
2017,1458,css,sql,11,18
